Parameter,Penalty function,Execution time
1_2.csv,256.18579040205213,52.229
1_5.csv,512.4054104459641,47.307
2_0.csv,1110.8779883131267,36.081
3_0.csv,1450.5072620998228,33.323
4_0.csv,4223.746345028457,33.317
