time (in seconds),queue density
0.0666092,0.0322042
0.133218,0.043498
0.199828,0.0611324
0.266437,0.0744913
0.333046,0.0811728
0.399655,0.0911029
0.466264,0.0999161
0.532873,0.104564
0.599483,0.110081
0.666092,0.114247
0.732701,0.116657
0.79931,0.119674
0.865919,0.123311
0.932529,0.124028
0.999138,0.127081
1.06575,0.129303
1.13236,0.130204
1.19897,0.132755
1.26557,0.135451
1.33218,0.135961
1.39879,0.137277
1.4654,0.138923
1.53201,0.13939
1.59862,0.142289
1.66523,0.144868
1.73184,0.146196
1.79845,0.148936
1.86506,0.152658
1.93167,0.153007
1.99828,0.153905
2.06488,0.154594
2.13149,0.154943
2.1981,0.155143
2.26471,0.155406
2.33132,0.156127
2.39793,0.155899
2.46454,0.156577
2.53115,0.15666
2.59776,0.156993
2.66437,0.157236
2.73098,0.157569
2.79759,0.157886
2.86419,0.157494
2.9308,0.158975
2.99741,0.158329
3.06402,0.157968
3.13063,0.158619
3.19724,0.159485
3.26385,0.159936
3.33046,0.16059
3.39707,0.161233
3.46368,0.163419
3.53029,0.164517
3.5969,0.166629
3.6635,0.168757
3.73011,0.169654
3.79672,0.170959
3.86333,0.172135
3.92994,0.172499
3.99655,0.173408
4.06316,0.173428
4.12977,0.172867
4.19638,0.170924
4.26299,0.169572
4.3296,0.169294
4.39621,0.168808
4.46282,0.16755
4.52942,0.167511
4.59603,0.168588
4.66264,0.169924
4.72925,0.170771
4.79586,0.172558
4.86247,0.173616
4.92908,0.174192
4.99569,0.175501
5.0623,0.176602
5.12891,0.177519
5.19552,0.180442
5.26213,0.183914
5.32873,0.185662
5.39534,0.187312
5.46195,0.189632
5.52856,0.191591
5.59517,0.196423
5.66178,0.202426
5.72839,0.205714
5.795,0.212192
5.86161,0.21854
5.92822,0.22191
5.99483,0.229133
6.06144,0.235916
6.12804,0.238126
6.19465,0.241328
6.26126,0.244718
6.32787,0.246367
6.39448,0.249044
6.46109,0.251662
6.5277,0.252677
6.59431,0.255349
6.66092,0.255996
6.72753,0.255212
6.79414,0.254072
6.86075,0.252159
6.92735,0.251254
6.99396,0.248856
7.06057,0.247182
7.12718,0.246599
7.19379,0.246105
7.2604,0.247613
7.32701,0.248777
7.39362,0.251489
7.46023,0.253256
7.52684,0.255157
7.59345,0.25888
7.66006,0.262078
7.72666,0.263575
7.79327,0.266118
7.85988,0.266823
7.92649,0.265949
7.9931,0.266278
8.05971,0.266188
8.12632,0.266588
8.19293,0.266749
8.25954,0.267415
8.32615,0.267517
8.39276,0.268234
8.45937,0.270914
8.52598,0.272599
8.59258,0.275346
8.65919,0.281667
8.7258,0.28309
8.79241,0.28597
8.85902,0.28706
8.92563,0.287839
8.99224,0.289842
9.05885,0.291809
9.12546,0.292914
9.19207,0.293408
9.25868,0.294603
9.32529,0.294862
9.39189,0.293584
9.4585,0.293486
9.52511,0.292381
9.59172,0.290124
9.65833,0.289732
9.72494,0.289438
9.79155,0.288513
9.85816,0.287326
9.92477,0.286773
9.99138,0.285374
10.058,0.284042
10.1246,0.284265
10.1912,0.283991
10.2578,0.282655
10.3244,0.281773
10.391,0.27988
10.4576,0.278536
10.5243,0.277513
10.5909,0.276013
10.6575,0.275546
10.7241,0.275331
10.7907,0.273822
10.8573,0.272317
10.9239,0.272125
10.9905,0.2716
11.0571,0.271498
11.1237,0.27162
11.1903,0.271737
11.257,0.270989
11.3236,0.270781
11.3902,0.269304
11.4568,0.268187
11.5234,0.268022
11.59,0.268434
11.6566,0.267544
11.7232,0.267066
11.7898,0.266196
11.8564,0.266047
11.923,0.265996
11.9897,0.265902
12.0563,0.265048
12.1229,0.264652
12.1895,0.264209
12.2561,0.263457
12.3227,0.263143
12.3893,0.261791
12.4559,0.261086
12.5225,0.261513
12.5891,0.261204
12.6557,0.261333
12.7224,0.260906
12.789,0.26002
12.8556,0.25964
12.9222,0.25685
12.9888,0.256595
13.0554,0.257015
13.122,0.256932
13.1886,0.256611
13.2552,0.256623
13.3218,0.256776
13.3884,0.256427
13.4551,0.25627
13.5217,0.256368
13.5883,0.257026
13.6549,0.256391
13.7215,0.255831
13.7881,0.255549
13.8547,0.255584
13.9213,0.255592
13.9879,0.255949
14.0545,0.256047
14.1211,0.25596
14.1878,0.255282
14.2544,0.255212
14.321,0.255055
14.3876,0.2548
14.4542,0.254671
14.5208,0.254981
14.5874,0.255522
14.654,0.255561
14.7206,0.255439
14.7872,0.25542
14.8538,0.255416
14.9205,0.255094
14.9871,0.255184
15.0537,0.255016
15.1203,0.255036
15.1869,0.254675
15.2535,0.254436
15.3201,0.254738
15.3867,0.254554
15.4533,0.255059
15.5199,0.254675
15.5865,0.254726
15.6532,0.255043
15.7198,0.254757
15.7864,0.254777
15.853,0.25346
15.9196,0.25261
15.9862,0.253727
16.0528,0.255502
16.1194,0.255514
16.186,0.256423
16.2526,0.255122
16.3192,0.254973
16.3859,0.255294
16.4525,0.254934
16.5191,0.254589
16.5857,0.254695
16.6523,0.254557
16.7189,0.254597
16.7855,0.254091
16.8521,0.254115
16.9187,0.25388
16.9853,0.254162
17.052,0.254244
17.1186,0.254099
17.1852,0.254765
17.2518,0.254734
17.3184,0.254409
17.385,0.254236
17.4516,0.254706
17.5182,0.254996
17.5848,0.255024
17.6514,0.255224
17.718,0.255177
17.7847,0.254824
17.8513,0.254867
17.9179,0.254679
17.9845,0.254561
18.0511,0.254299
18.1177,0.253621
18.1843,0.25359
18.2509,0.254052
18.3175,0.25406
18.3841,0.25504
18.4507,0.256113
18.5174,0.256493
18.584,0.257881
18.6506,0.259891
18.7172,0.26091
18.7838,0.263234
18.8504,0.265934
18.917,0.266204
18.9836,0.268398
19.0502,0.269797
19.1168,0.269895
19.1834,0.269261
19.2501,0.267485
19.3167,0.266423
19.3833,0.265177
19.4499,0.263496
19.5165,0.262928
19.5831,0.261345
19.6497,0.260506
19.7163,0.259848
19.7829,0.258096
19.8495,0.256395
19.9161,0.255929
19.9828,0.254808
20.0494,0.253872
20.116,0.25348
20.1826,0.253162
20.2492,0.252696
20.3158,0.253084
20.3824,0.253264
20.449,0.253915
20.5156,0.25388
20.5822,0.254248
20.6488,0.255576
20.7155,0.255008
20.7821,0.254358
20.8487,0.254753
20.9153,0.254256
20.9819,0.254761
21.0485,0.254362
21.1151,0.253962
21.1817,0.253401
21.2483,0.255181
21.3149,0.255079
21.3815,0.254793
21.4482,0.254448
21.5148,0.254377
21.5814,0.254828
21.648,0.255294
21.7146,0.255384
21.7812,0.255549
21.8478,0.255702
21.9144,0.255772
21.981,0.255878
22.0476,0.255349
22.1142,0.255302
22.1809,0.25587
22.2475,0.256011
22.3141,0.256129
22.3807,0.256105
22.4473,0.25627
22.5139,0.256552
22.5805,0.256873
22.6471,0.257371
22.7137,0.258171
22.7803,0.258994
22.8469,0.260557
22.9136,0.259671
22.9802,0.26129
23.0468,0.262638
23.1134,0.263445
23.18,0.263723
23.2466,0.263817
23.3132,0.263465
23.3798,0.263402
23.4464,0.263026
23.513,0.262916
23.5796,0.262912
23.6463,0.26314
23.7129,0.263304
23.7795,0.263375
23.8461,0.263763
23.9127,0.263817
23.9793,0.264127
24.0459,0.264256
24.1125,0.264315
24.1791,0.264523
24.2457,0.264284
24.3124,0.264139
24.379,0.264229
24.4456,0.263598
24.5122,0.263629
24.5788,0.263488
24.6454,0.263222
24.712,0.263559
24.7786,0.263163
24.8452,0.2629
24.9118,0.262842
24.9784,0.262136
25.0451,0.262399
25.1117,0.262081
25.1783,0.26158
