time (in seconds),queue density
0.0666092,0.0318079
0.133218,0.0438144
0.199828,0.0596555
0.266437,0.0742394
0.333046,0.0785768
0.399655,0.0905834
0.466264,0.099824
0.532873,0.106047
0.599483,0.112522
0.666092,0.118557
0.732701,0.120003
0.79931,0.123774
0.865919,0.126289
0.932529,0.126289
0.999138,0.129243
1.06575,0.132449
1.13236,0.134524
1.19897,0.136409
1.26557,0.137352
1.33218,0.13861
1.39879,0.139175
1.4654,0.142318
1.53201,0.143136
1.59862,0.143953
1.66523,0.147913
1.73184,0.149799
1.79845,0.152628
1.86506,0.154765
1.93167,0.157279
1.99828,0.156839
2.06488,0.159542
2.13149,0.159731
2.1981,0.160045
2.26471,0.158662
2.33132,0.159794
2.39793,0.159542
2.46454,0.15948
2.53115,0.157782
2.59776,0.160485
2.66437,0.161114
2.73098,0.160548
2.79759,0.158599
2.86419,0.15948
2.9308,0.161994
2.99741,0.161931
3.06402,0.159668
3.13063,0.161177
3.19724,0.161743
3.26385,0.163
3.33046,0.163691
3.39707,0.161868
3.46368,0.1652
3.53029,0.165074
3.5969,0.168029
3.6635,0.169349
3.73011,0.169537
3.79672,0.170857
3.86333,0.174126
3.92994,0.173875
3.99655,0.172618
4.06316,0.173058
4.12977,0.173058
4.19638,0.17224
4.26299,0.171046
4.3296,0.17048
4.39621,0.170166
4.46282,0.168594
4.52942,0.168343
4.59603,0.16916
4.66264,0.17004
4.72925,0.1718
4.79586,0.17312
4.86247,0.174189
4.92908,0.175258
4.99569,0.176955
5.0623,0.178527
5.12891,0.178527
5.19552,0.181858
5.26213,0.184561
5.32873,0.187516
5.39534,0.191476
5.46195,0.192733
5.52856,0.193802
5.59517,0.198705
5.66178,0.204551
5.72839,0.20782
5.795,0.214106
5.86161,0.222278
5.92822,0.226553
5.99483,0.23177
6.06144,0.238748
6.12804,0.239188
6.19465,0.24384
6.26126,0.243777
6.32787,0.2456
6.39448,0.249057
6.46109,0.249623
6.5277,0.250314
6.59431,0.254337
6.66092,0.254526
6.72753,0.256663
6.79414,0.254652
6.86075,0.251006
6.92735,0.2522
6.99396,0.248806
7.06057,0.248303
7.12718,0.24824
7.19379,0.247234
7.2604,0.247611
7.32701,0.247171
7.39362,0.251257
7.46023,0.255029
7.52684,0.256852
7.59345,0.260058
7.66006,0.261755
7.72666,0.26603
7.79327,0.26999
7.85988,0.271624
7.92649,0.268356
7.9931,0.269613
8.05971,0.267664
8.12632,0.267978
8.19293,0.26779
8.25954,0.270241
8.32615,0.269738
8.39276,0.269361
8.45937,0.273699
8.52598,0.272882
8.59258,0.27703
8.65919,0.280425
8.7258,0.283191
8.79241,0.285391
8.85902,0.288597
8.92563,0.289226
8.99224,0.292746
9.05885,0.29438
9.12546,0.297209
9.19207,0.294883
9.25868,0.29658
9.32529,0.298403
9.39189,0.294632
9.4585,0.294757
9.52511,0.294883
9.59172,0.2957
9.65833,0.295512
9.72494,0.29526
9.79155,0.293374
9.85816,0.28998
9.92477,0.289288
9.99138,0.286963
10.058,0.28734
10.1246,0.288408
10.1912,0.287591
10.2578,0.286523
10.3244,0.284448
10.391,0.282059
10.4576,0.282059
10.5243,0.281431
10.5909,0.281494
10.6575,0.281179
10.7241,0.278539
10.7907,0.278162
10.8573,0.277282
10.9239,0.27659
10.9905,0.275145
11.0571,0.274767
11.1237,0.274327
11.1903,0.274893
11.257,0.274767
11.3236,0.27351
11.3902,0.27219
11.4568,0.273636
11.5234,0.271561
11.59,0.272944
11.6566,0.271624
11.7232,0.271876
11.7898,0.269927
11.8564,0.268921
11.923,0.270116
11.9897,0.267664
12.0563,0.26867
12.1229,0.269173
12.1895,0.265212
12.2561,0.26471
12.3227,0.264772
12.3893,0.264144
12.4559,0.263389
12.5225,0.263075
12.5891,0.263138
12.6557,0.262447
12.7224,0.263201
12.789,0.263704
12.8556,0.264332
12.9222,0.260309
12.9888,0.259744
13.0554,0.260498
13.122,0.259178
13.1886,0.259869
