time (in seconds),queue density
0.0666092,0.0329488
0.133218,0.0445051
0.199828,0.0621787
0.266437,0.0751771
0.333046,0.0818547
0.399655,0.0914948
0.466264,0.100061
0.532873,0.104278
0.599483,0.109807
0.666092,0.113981
0.732701,0.116124
0.79931,0.119259
0.865919,0.122974
0.932529,0.123766
0.999138,0.126599
1.06575,0.128915
1.13236,0.129824
1.19897,0.13216
1.26557,0.134836
1.33218,0.135855
1.39879,0.137301
1.4654,0.13908
1.53201,0.139613
1.59862,0.14238
1.66523,0.145123
1.73184,0.146063
1.79845,0.148838
1.86506,0.152286
1.93167,0.153003
1.99828,0.153709
2.06488,0.154747
2.13149,0.154822
2.1981,0.155186
2.26471,0.155684
2.33132,0.156283
2.39793,0.156013
2.46454,0.156585
2.53115,0.157047
2.59776,0.157569
2.66437,0.158094
2.73098,0.158525
2.79759,0.158635
2.86419,0.158862
2.9308,0.160022
2.99741,0.159473
3.06402,0.159853
3.13063,0.160179
3.19724,0.161303
3.26385,0.161523
3.33046,0.162181
3.39707,0.163517
3.46368,0.166017
3.53029,0.167718
3.5969,0.170136
3.6635,0.172722
3.73011,0.173612
3.79672,0.175481
3.86333,0.176978
3.92994,0.177836
3.99655,0.178569
4.06316,0.178891
4.12977,0.178142
4.19638,0.176963
4.26299,0.175438
4.3296,0.175015
4.39621,0.174772
4.46282,0.173122
4.52942,0.172785
4.59603,0.173016
4.66264,0.173659
4.72925,0.174447
4.79586,0.17612
4.86247,0.177205
4.92908,0.177785
4.99569,0.179188
5.0623,0.18007
5.12891,0.181093
5.19552,0.183593
5.26213,0.186983
5.32873,0.188727
5.39534,0.190525
5.46195,0.192649
5.52856,0.194765
5.59517,0.199288
5.66178,0.205236
5.72839,0.20787
5.795,0.214136
5.86161,0.220551
5.92822,0.223388
5.99483,0.230814
6.06144,0.237915
6.12804,0.240415
6.19465,0.244286
6.26126,0.248158
6.32787,0.249679
6.39448,0.253014
6.46109,0.255972
6.5277,0.257238
6.59431,0.260251
6.66092,0.261533
6.72753,0.260447
6.79414,0.25877
6.86075,0.257191
6.92735,0.256019
6.99396,0.253566
7.06057,0.251842
7.12718,0.250948
7.19379,0.250094
7.2604,0.251093
7.32701,0.252108
7.39362,0.253723
7.46023,0.254734
7.52684,0.255972
7.59345,0.25906
7.66006,0.262387
7.72666,0.263743
7.79327,0.266169
7.85988,0.266866
7.92649,0.265702
7.9931,0.266216
8.05971,0.266055
8.12632,0.266459
8.19293,0.267325
8.25954,0.267662
8.32615,0.267779
8.39276,0.268786
8.45937,0.271616
8.52598,0.273595
8.59258,0.276495
8.65919,0.282961
8.7258,0.283972
8.79241,0.286703
8.85902,0.287886
8.92563,0.289054
8.99224,0.290641
9.05885,0.29264
9.12546,0.293569
9.19207,0.294721
9.25868,0.295555
9.32529,0.29554
9.39189,0.294815
9.4585,0.294576
9.52511,0.2936
9.59172,0.291382
9.65833,0.290563
9.72494,0.290289
9.79155,0.289066
9.85816,0.288584
9.92477,0.287628
9.99138,0.286378
10.058,0.285237
10.1246,0.2857
10.1912,0.2851
10.2578,0.284211
10.3244,0.283215
10.391,0.281373
10.4576,0.279967
10.5243,0.279132
10.5909,0.277823
10.6575,0.277486
10.7241,0.276926
10.7907,0.275977
10.8573,0.274355
10.9239,0.274198
10.9905,0.273677
11.0571,0.273951
11.1237,0.273783
11.1903,0.273454
11.257,0.272443
11.3236,0.272227
11.3902,0.271087
11.4568,0.26997
11.5234,0.270131
11.59,0.27044
11.6566,0.269856
11.7232,0.269359
11.7898,0.26843
11.8564,0.268395
11.923,0.268328
11.9897,0.268289
12.0563,0.26736
12.1229,0.267152
12.1895,0.266639
12.2561,0.265985
12.3227,0.265616
12.3893,0.264437
12.4559,0.263743
12.5225,0.264162
12.5891,0.263876
12.6557,0.263575
12.7224,0.263045
12.789,0.262317
12.8556,0.261866
12.9222,0.258704
12.9888,0.258656
13.0554,0.258997
13.122,0.259009
13.1886,0.25888
13.2552,0.258943
13.3218,0.258896
13.3884,0.258817
13.4551,0.258735
13.5217,0.2587
13.5883,0.259589
13.6549,0.258727
13.7215,0.258292
13.7881,0.257794
13.8547,0.257806
13.9213,0.257837
13.9879,0.258151
14.0545,0.258323
14.1211,0.258292
14.1878,0.257598
14.2544,0.25752
14.321,0.257269
14.3876,0.257116
14.4542,0.257046
14.5208,0.257316
14.5874,0.258065
14.654,0.258233
14.7206,0.258077
14.7872,0.258206
14.8538,0.257912
14.9205,0.2577
14.9871,0.25772
15.0537,0.257869
15.1203,0.257873
15.1869,0.257387
15.2535,0.257085
15.3201,0.257383
15.3867,0.25732
15.4533,0.257779
15.5199,0.257579
15.5865,0.257685
15.6532,0.257939
15.7198,0.257661
15.7864,0.25734
15.853,0.256466
15.9196,0.255326
