time (in seconds),queue density
0.0666092,0.0324589
0.133218,0.043886
0.199828,0.0613832
0.266437,0.0747617
0.333046,0.0814745
0.399655,0.0911107
0.466264,0.100132
0.532873,0.104591
0.599483,0.110285
0.666092,0.114639
0.732701,0.116755
0.79931,0.120004
0.865919,0.123523
0.932529,0.124201
0.999138,0.127249
1.06575,0.129734
1.13236,0.130572
1.19897,0.133014
1.26557,0.135961
1.33218,0.136603
1.39879,0.13774
1.4654,0.139539
1.53201,0.140119
1.59862,0.142913
1.66523,0.14553
1.73184,0.146784
1.79845,0.149884
1.86506,0.153199
1.93167,0.153846
1.99828,0.154579
2.06488,0.155104
2.13149,0.155621
2.1981,0.156138
2.26471,0.156029
2.33132,0.156628
2.39793,0.156832
2.46454,0.157165
2.53115,0.157396
2.59776,0.157835
2.66437,0.158274
2.73098,0.158689
2.79759,0.158846
2.86419,0.158803
2.9308,0.160026
2.99741,0.159438
3.06402,0.159461
3.13063,0.159873
3.19724,0.161001
3.26385,0.161048
3.33046,0.161809
3.39707,0.1626
3.46368,0.164818
3.53029,0.165869
3.5969,0.168055
3.6635,0.170359
3.73011,0.171147
3.79672,0.172801
3.86333,0.173612
3.92994,0.17427
3.99655,0.175027
4.06316,0.175462
4.12977,0.174584
4.19638,0.173443
4.26299,0.172103
4.3296,0.171841
4.39621,0.17148
4.46282,0.170258
4.52942,0.17023
4.59603,0.171355
4.66264,0.172762
4.72925,0.173565
4.79586,0.175552
4.86247,0.176641
4.92908,0.177323
4.99569,0.178667
5.0623,0.179545
5.12891,0.180536
5.19552,0.183107
5.26213,0.186728
5.32873,0.188582
5.39534,0.19058
5.46195,0.192626
5.52856,0.194452
5.59517,0.199178
5.66178,0.20497
5.72839,0.208015
5.795,0.214531
5.86161,0.220911
5.92822,0.224238
5.99483,0.231382
6.06144,0.238393
6.12804,0.240677
6.19465,0.243891
6.26126,0.247519
6.32787,0.248899
6.39448,0.251771
6.46109,0.254322
6.5277,0.255627
6.59431,0.258163
6.66092,0.259276
6.72753,0.258519
6.79414,0.257038
6.86075,0.2552
6.92735,0.254205
6.99396,0.25172
7.06057,0.25029
7.12718,0.249389
7.19379,0.248977
7.2604,0.250376
7.32701,0.251438
7.39362,0.25388
7.46023,0.25609
7.52684,0.257818
7.59345,0.261854
7.66006,0.265079
7.72666,0.266615
7.79327,0.269022
7.85988,0.269735
7.92649,0.268069
7.9931,0.268563
8.05971,0.268073
8.12632,0.268508
8.19293,0.26928
8.25954,0.269605
8.32615,0.270123
8.39276,0.270824
8.45937,0.273799
8.52598,0.275562
8.59258,0.278356
8.65919,0.284857
8.7258,0.286534
8.79241,0.288839
8.85902,0.290206
8.92563,0.291253
8.99224,0.292522
9.05885,0.294591
9.12546,0.295661
9.19207,0.296559
9.25868,0.297436
9.32529,0.297793
9.39189,0.296394
9.4585,0.296825
9.52511,0.295438
9.59172,0.293087
9.65833,0.292706
9.72494,0.292405
9.79155,0.291155
9.85816,0.290222
9.92477,0.289007
9.99138,0.28764
10.058,0.286554
10.1246,0.286852
10.1912,0.28626
10.2578,0.285096
10.3244,0.284019
10.391,0.282232
10.4576,0.280852
10.5243,0.279892
10.5909,0.278634
10.6575,0.278039
10.7241,0.277608
10.7907,0.276385
10.8573,0.274763
10.9239,0.274751
10.9905,0.274312
11.0571,0.274261
11.1237,0.274261
11.1903,0.274018
11.257,0.273034
11.3236,0.272635
11.3902,0.271451
11.4568,0.270409
11.5234,0.270123
11.59,0.270711
11.6566,0.270056
11.7232,0.269743
11.7898,0.268708
11.8564,0.268449
11.923,0.268551
11.9897,0.268567
12.0563,0.267638
12.1229,0.267156
12.1895,0.266796
12.2561,0.265667
12.3227,0.265416
12.3893,0.264441
12.4559,0.263375
12.5225,0.263884
12.5891,0.2639
12.6557,0.263418
12.7224,0.2631
12.789,0.262023
12.8556,0.261835
12.9222,0.258711
12.9888,0.258402
13.0554,0.258786
13.122,0.258758
13.1886,0.258688
13.2552,0.258805
13.3218,0.258539
13.3884,0.258578
13.4551,0.2583
13.5217,0.258304
13.5883,0.258931
13.6549,0.258359
13.7215,0.257971
13.7881,0.257775
13.8547,0.257822
13.9213,0.25779
13.9879,0.258112
14.0545,0.258253
14.1211,0.258171
14.1878,0.257508
14.2544,0.257426
14.321,0.257183
14.3876,0.257042
14.4542,0.257069
14.5208,0.257344
14.5874,0.25799
14.654,0.258053
14.7206,0.257826
14.7872,0.25801
14.8538,0.25774
14.9205,0.257305
14.9871,0.257238
15.0537,0.257336
15.1203,0.257289
15.1869,0.256858
15.2535,0.256634
15.3201,0.257007
15.3867,0.256987
15.4533,0.257352
15.5199,0.256964
15.5865,0.257007
15.6532,0.257281
15.7198,0.257093
15.7864,0.25687
15.853,0.25578
15.9196,0.254902
15.9862,0.255984
16.0528,0.257783
16.1194,0.25774
16.186,0.258519
16.2526,0.257563
16.3192,0.257481
16.3859,0.257649
16.4525,0.257152
16.5191,0.256956
16.5857,0.257089
16.6523,0.256913
16.7189,0.256823
16.7855,0.256486
16.8521,0.256321
16.9187,0.255925
16.9853,0.256313
17.052,0.256407
17.1186,0.256482
17.1852,0.25725
17.2518,0.257199
17.3184,0.256917
17.385,0.256576
17.4516,0.257285
17.5182,0.257477
17.5848,0.257524
17.6514,0.25801
17.718,0.257845
17.7847,0.257555
17.8513,0.257716
17.9179,0.257116
17.9845,0.257034
18.0511,0.256642
18.1177,0.256047
18.1843,0.256125
18.2509,0.256615
18.3175,0.25685
18.3841,0.257689
18.4507,0.258719
18.5174,0.259013
18.584,0.260483
18.6506,0.262391
18.7172,0.263575
18.7838,0.265702
18.8504,0.268461
18.917,0.269006
18.9836,0.270934
19.0502,0.272482
19.1168,0.272744
19.1834,0.272043
19.2501,0.270193
19.3167,0.269135
19.3833,0.267822
19.4499,0.266259
19.5165,0.26573
19.5831,0.263982
19.6497,0.26294
19.7163,0.262438
19.7829,0.260749
19.8495,0.258845
19.9161,0.258394
19.9828,0.257254
20.0494,0.256388
20.116,0.255968
20.1826,0.255757
20.2492,0.25529
20.3158,0.255553
20.3824,0.255804
20.449,0.256466
20.5156,0.256356
20.5822,0.256877
20.6488,0.258135
20.7155,0.257626
20.7821,0.256948
20.8487,0.257277
20.9153,0.256799
20.9819,0.257175
21.0485,0.256807
21.1151,0.256697
21.1817,0.255839
21.2483,0.257547
21.3149,0.257485
21.3815,0.257261
21.4482,0.25703
21.5148,0.256873
21.5814,0.257281
21.648,0.257587
21.7146,0.257579
21.7812,0.258088
21.8478,0.258006
21.9144,0.257877
21.981,0.25821
22.0476,0.257595
22.1142,0.257598
22.1809,0.25808
22.2475,0.25841
22.3141,0.258594
22.3807,0.258586
22.4473,0.258582
22.5139,0.258676
22.5805,0.25908
22.6471,0.259601
22.7137,0.26051
