Parameter,Penalty function,Execution time
1.csv,1.1599548787366047,58.505
2.csv,1.2078038008879701,60.261
4.csv,1.0717486919725678,54.857
8.csv,1.0952878019683865,55.888
12.csv,1.0963387849969082,55.933
