time (in seconds),queue density
0.0666092,0
0.133218,0.0319299
0.199828,0.0431375
0.266437,0.0609443
0.333046,0.0747735
0.399655,0.0813021
0.466264,0.0910559
0.532873,0.100524
0.599483,0.104799
0.666092,0.110716
0.732701,0.114843
0.79931,0.117257
0.865919,0.120517
0.932529,0.123758
0.999138,0.124545
1.06575,0.127512
1.13236,0.129797
1.19897,0.130643
1.26557,0.132998
1.33218,0.135643
1.39879,0.136717
1.4654,0.137861
1.53201,0.139668
1.59862,0.140216
1.66523,0.142924
1.73184,0.145546
1.79845,0.146788
1.86506,0.149371
1.93167,0.153121
1.99828,0.153822
2.06488,0.15432
2.13149,0.155116
2.1981,0.15539
2.26471,0.155523
2.33132,0.155472
2.39793,0.156346
2.46454,0.155629
2.53115,0.155946
2.59776,0.156119
2.66437,0.15637
2.73098,0.156656
2.79759,0.156891
2.86419,0.157004
2.9308,0.156965
2.99741,0.158047
3.06402,0.157306
3.13063,0.157627
3.19724,0.157784
3.26385,0.158854
3.33046,0.159254
3.39707,0.159908
3.46368,0.160351
3.53029,0.16206
3.5969,0.163004
3.6635,0.165136
3.73011,0.166727
3.79672,0.167275
3.86333,0.168796
3.92994,0.169341
3.99655,0.170015
4.06316,0.170712
4.12977,0.170598
4.19638,0.169826
4.26299,0.16842
4.3296,0.167318
4.39621,0.167315
4.46282,0.167083
4.52942,0.166249
4.59603,0.166566
4.66264,0.168098
4.72925,0.169521
4.79586,0.170497
4.86247,0.172095
4.92908,0.173361
4.99569,0.174023
5.0623,0.175274
5.12891,0.176288
5.19552,0.177225
5.26213,0.179941
5.32873,0.183495
5.39534,0.185419
5.46195,0.187394
5.52856,0.189514
5.59517,0.191865
5.66178,0.196787
5.72839,0.202752
5.795,0.205777
5.86161,0.212537
5.92822,0.219187
5.99483,0.222157
6.06144,0.229395
6.12804,0.236014
6.19465,0.238236
6.26126,0.24103
6.32787,0.244714
6.39448,0.24565
6.46109,0.248299
6.5277,0.250733
6.59431,0.25183
6.66092,0.25415
6.72753,0.254847
6.79414,0.253927
6.86075,0.252814
6.92735,0.25056
6.99396,0.250004
7.06057,0.24683
7.12718,0.246015
7.19379,0.245486
7.2604,0.245109
7.32701,0.247002
7.39362,0.248483
7.46023,0.251787
7.52684,0.254746
7.59345,0.256807
7.66006,0.260663
7.72666,0.264002
7.79327,0.265542
7.85988,0.26812
7.92649,0.269167
7.9931,0.267909
8.05971,0.268116
8.12632,0.267881
8.19293,0.268324
8.25954,0.268783
8.32615,0.269331
8.39276,0.269057
8.45937,0.269942
8.52598,0.27316
8.59258,0.274727
8.65919,0.277482
8.7258,0.283858
8.79241,0.285128
8.85902,0.287832
8.92563,0.288698
8.99224,0.289426
9.05885,0.2913
9.12546,0.293667
9.19207,0.294113
9.25868,0.295062
9.32529,0.295834
9.39189,0.29608
9.4585,0.295038
9.52511,0.294654
9.59172,0.293608
9.65833,0.291429
9.72494,0.290622
9.79155,0.290763
9.85816,0.289176
9.92477,0.288212
9.99138,0.287197
10.058,0.28588
10.1246,0.28463
10.1912,0.284806
10.2578,0.284093
10.3244,0.28251
10.391,0.281609
10.4576,0.279747
10.5243,0.278446
10.5909,0.277451
10.6575,0.275746
10.7241,0.275472
10.7907,0.274927
10.8573,0.273473
10.9239,0.271812
10.9905,0.271541
11.0571,0.271126
11.1237,0.271153
11.1903,0.271291
11.257,0.270758
11.3236,0.269884
11.3902,0.269684
11.4568,0.268293
11.5234,0.267254
11.59,0.26707
11.6566,0.267423
11.7232,0.267062
11.7898,0.266302
11.8564,0.265459
11.923,0.265216
11.9897,0.265354
12.0563,0.265197
12.1229,0.264225
12.1895,0.263696
12.2561,0.263469
12.3227,0.262677
12.3893,0.262132
12.4559,0.260726
12.5225,0.260177
12.5891,0.260573
12.6557,0.260216
12.7224,0.259899
12.789,0.259483
12.8556,0.258723
12.9222,0.258468
12.9888,0.255631
13.0554,0.255714
13.122,0.255929
13.1886,0.255859
13.2552,0.255627
13.3218,0.255761
13.3884,0.255549
13.4551,0.255455
13.5217,0.255365
13.5883,0.255502
13.6549,0.255921
13.7215,0.255443
13.7881,0.254973
13.8547,0.254589
13.9213,0.25462
13.9879,0.254667
14.0545,0.255032
14.1211,0.25522
14.1878,0.255216
14.2544,0.254522
14.321,0.254471
14.3876,0.254365
14.4542,0.254025
14.5208,0.254001
14.5874,0.254291
14.654,0.254765
14.7206,0.254734
14.7872,0.254491
14.8538,0.254601
14.9205,0.254534
14.9871,0.254275
15.0537,0.254315
15.1203,0.254095
15.1869,0.254166
15.2535,0.254017
15.3201,0.253558
15.3867,0.253766
15.4533,0.25368
