time (in seconds),queue density
0.0666092,0
0.133218,0.0326118
0.199828,0.0441329
0.266437,0.0622492
0.333046,0.0764468
0.399655,0.0833242
0.466264,0.0937128
0.532873,0.103169
0.599483,0.107961
0.666092,0.11393
0.732701,0.118162
0.79931,0.120156
0.865919,0.123613
0.932529,0.127273
0.999138,0.12788
1.06575,0.13098
1.13236,0.133468
1.19897,0.134154
1.26557,0.136384
1.33218,0.139464
1.39879,0.140036
1.4654,0.141235
1.53201,0.142873
1.59862,0.14334
1.66523,0.14611
1.73184,0.148779
1.79845,0.149782
1.86506,0.153054
1.93167,0.156417
1.99828,0.157302
2.06488,0.1578
2.13149,0.158372
2.1981,0.15874
2.26471,0.158787
2.33132,0.158564
2.39793,0.159399
2.46454,0.158689
2.53115,0.158807
2.59776,0.158846
2.66437,0.159101
2.73098,0.159555
2.79759,0.159791
2.86419,0.160084
2.9308,0.159677
2.99741,0.160347
3.06402,0.159755
3.13063,0.159732
3.19724,0.160049
3.26385,0.160982
3.33046,0.161354
3.39707,0.162134
3.46368,0.162314
3.53029,0.163784
3.5969,0.164685
3.6635,0.166323
3.73011,0.167691
3.79672,0.168267
3.86333,0.169219
3.92994,0.169866
3.99655,0.170289
4.06316,0.170598
4.12977,0.170348
4.19638,0.169576
4.26299,0.168494
4.3296,0.167561
4.39621,0.167424
4.46282,0.167667
4.52942,0.167644
4.59603,0.167891
4.66264,0.169889
4.72925,0.171292
4.79586,0.172331
4.86247,0.174027
4.92908,0.175023
4.99569,0.175607
5.0623,0.177041
5.12891,0.177832
5.19552,0.17891
5.26213,0.181728
5.32873,0.185588
5.39534,0.187551
5.46195,0.189534
5.52856,0.192014
5.59517,0.194091
5.66178,0.199229
5.72839,0.204931
5.795,0.207909
5.86161,0.214488
5.92822,0.220363
5.99483,0.22347
6.06144,0.230293
6.12804,0.236429
6.19465,0.238444
6.26126,0.241148
6.32787,0.244412
6.39448,0.245674
6.46109,0.247853
6.5277,0.249651
6.59431,0.250913
6.66092,0.252692
6.72753,0.253131
6.79414,0.252575
6.86075,0.25114
6.92735,0.249099
6.99396,0.248621
7.06057,0.245732
7.12718,0.245219
7.19379,0.244506
7.2604,0.24518
7.32701,0.248005
7.39362,0.249741
7.46023,0.253656
7.52684,0.256583
7.59345,0.258684
7.66006,0.263038
7.72666,0.266459
7.79327,0.268097
7.85988,0.270479
7.92649,0.271561
7.9931,0.270091
8.05971,0.270593
8.12632,0.270189
8.19293,0.270405
8.25954,0.271102
8.32615,0.271338
8.39276,0.271067
8.45937,0.272235
8.52598,0.274927
8.59258,0.276765
8.65919,0.279516
8.7258,0.285625
8.79241,0.287314
8.85902,0.289826
8.92563,0.290857
8.99224,0.292028
9.05885,0.293412
9.12546,0.295661
9.19207,0.296484
9.25868,0.297342
9.32529,0.298165
9.39189,0.298585
9.4585,0.297076
9.52511,0.296837
9.59172,0.295645
9.65833,0.29333
9.72494,0.292703
9.79155,0.292217
9.85816,0.29101
9.92477,0.290136
9.99138,0.288654
10.058,0.287389
10.1246,0.285813
10.1912,0.285982
10.2578,0.284987
10.3244,0.284042
10.391,0.282694
10.4576,0.280974
10.5243,0.279402
10.5909,0.278282
10.6575,0.276765
10.7241,0.276165
10.7907,0.275311
10.8573,0.274147
10.9239,0.272795
10.9905,0.272447
11.0571,0.271522
11.1237,0.271157
11.1903,0.271302
11.257,0.270993
11.3236,0.270366
11.3902,0.270252
11.4568,0.268935
11.5234,0.267736
11.59,0.267674
11.6566,0.267783
11.7232,0.267262
11.7898,0.266941
11.8564,0.265812
11.923,0.265738
11.9897,0.265542
12.0563,0.265898
12.1229,0.26486
12.1895,0.264319
12.2561,0.264017
12.3227,0.263328
12.3893,0.262814
12.4559,0.261541
12.5225,0.260761
12.5891,0.261023
12.6557,0.260992
12.7224,0.260463
12.789,0.260279
12.8556,0.259236
12.9222,0.258884
12.9888,0.256438
13.0554,0.256113
13.122,0.256442
13.1886,0.256395
13.2552,0.256301
13.3218,0.256556
13.3884,0.256466
13.4551,0.256442
13.5217,0.256325
13.5883,0.256348
13.6549,0.256917
13.7215,0.256258
13.7881,0.255663
13.8547,0.255094
13.9213,0.255224
13.9879,0.255181
14.0545,0.25549
14.1211,0.255478
14.1878,0.255439
14.2544,0.25471
14.321,0.25475
14.3876,0.254495
14.4542,0.254322
14.5208,0.25426
14.5874,0.254601
14.654,0.255047
14.7206,0.25502
14.7872,0.254777
14.8538,0.254906
14.9205,0.254844
14.9871,0.254601
15.0537,0.254475
15.1203,0.254471
15.1869,0.254577
15.2535,0.25404
15.3201,0.253746
15.3867,0.253974
15.4533,0.253903
15.5199,0.254499
15.5865,0.254166
15.6532,0.254358
15.7198,0.254589
15.7864,0.254311
15.853,0.254154
15.9196,0.253029
15.9862,0.251955
16.0528,0.253029
16.1194,0.254812
16.186,0.254804
16.2526,0.25567
16.3192,0.254816
16.3859,0.254655
16.4525,0.254648
16.5191,0.254287
16.5857,0.254064
16.6523,0.254044
16.7189,0.25386
16.7855,0.253715
16.8521,0.252998
16.9187,0.252966
16.9853,0.252677
17.052,0.25297
17.1186,0.25317
17.1852,0.253135
17.2518,0.253797
17.3184,0.253703
17.385,0.253394
17.4516,0.253021
17.5182,0.253566
17.5848,0.253735
17.6514,0.253883
17.718,0.254021
17.7847,0.254032
17.8513,0.253648
17.9179,0.253774
17.9845,0.254291
18.0511,0.254471
18.1177,0.254028
18.1843,0.253347
18.2509,0.253303
18.3175,0.253911
18.3841,0.253774
18.4507,0.254072
18.5174,0.25462
18.584,0.254781
18.6506,0.255843
18.7172,0.257457
18.7838,0.25859
18.8504,0.260408
18.917,0.262458
18.9836,0.262552
19.0502,0.264096
19.1168,0.265083
19.1834,0.265162
19.2501,0.263982
19.3167,0.262211
19.3833,0.261117
19.4499,0.259997
19.5165,0.258363
