Parameter,Penalty function,Execution time
1.csv,1.1567709856683241,58.383
2.csv,1.0097806233674411,51.913
4.csv,0.9647970576645214,49.539
8.csv,0.9224903561496367,47.095
12.csv,0.8998232380685697,45.691
