time (in seconds),queue density
0.0666092,0
0.133218,0.0318202
0.199828,0.0428906
0.266437,0.0600312
0.333046,0.0742641
0.399655,0.0797581
0.466264,0.0896882
0.532873,0.0985171
0.599483,0.103157
0.666092,0.108949
0.732701,0.113299
0.79931,0.115403
0.865919,0.118855
0.932529,0.122112
0.999138,0.12308
1.06575,0.126105
1.13236,0.128382
1.19897,0.12944
1.26557,0.131642
1.33218,0.13444
1.39879,0.135157
1.4654,0.136748
1.53201,0.138249
1.59862,0.139088
1.66523,0.1418
1.73184,0.144218
1.79845,0.145519
1.86506,0.148387
1.93167,0.152169
1.99828,0.152945
2.06488,0.153658
2.13149,0.15403
2.1981,0.154489
2.26471,0.155018
2.33132,0.155186
2.39793,0.155668
2.46454,0.155088
2.53115,0.155974
2.59776,0.156005
2.66437,0.156095
2.73098,0.156546
2.79759,0.157228
2.86419,0.157204
2.9308,0.156781
2.99741,0.1582
3.06402,0.15769
3.13063,0.157467
3.19724,0.157988
3.26385,0.158709
3.33046,0.159305
3.39707,0.160065
3.46368,0.160563
3.53029,0.162726
3.5969,0.164011
3.6635,0.166025
3.73011,0.168114
3.79672,0.168518
3.86333,0.17003
3.92994,0.171045
3.99655,0.171856
4.06316,0.172577
4.12977,0.172495
4.19638,0.171461
4.26299,0.170128
4.3296,0.168941
4.39621,0.16867
4.46282,0.168102
4.52942,0.166719
4.59603,0.166562
4.66264,0.167938
4.72925,0.16925
4.79586,0.170073
4.86247,0.171978
4.92908,0.172997
4.99569,0.173706
5.0623,0.175109
5.12891,0.176202
5.19552,0.177276
5.26213,0.180117
5.32873,0.183499
5.39534,0.185564
5.46195,0.187539
5.52856,0.190032
5.59517,0.191854
5.66178,0.197124
5.72839,0.203191
5.795,0.206051
5.86161,0.21269
5.92822,0.219297
5.99483,0.222197
6.06144,0.229493
6.12804,0.236308
6.19465,0.238777
6.26126,0.242049
6.32787,0.245352
6.39448,0.246693
6.46109,0.249455
6.5277,0.251983
6.59431,0.253433
6.66092,0.256031
6.72753,0.256768
6.79414,0.256172
6.86075,0.254381
6.92735,0.252923
6.99396,0.252006
7.06057,0.248997
7.12718,0.24768
7.19379,0.246959
7.2604,0.246575
7.32701,0.248178
7.39362,0.249416
7.46023,0.252242
7.52684,0.254597
7.59345,0.256701
7.66006,0.260592
7.72666,0.263622
7.79327,0.265126
7.85988,0.267442
7.92649,0.26854
7.9931,0.267246
8.05971,0.267642
8.12632,0.267485
8.19293,0.267478
8.25954,0.268167
8.32615,0.268736
8.39276,0.268583
8.45937,0.269809
8.52598,0.272529
8.59258,0.274151
8.65919,0.277341
8.7258,0.283501
8.79241,0.284975
8.85902,0.287694
8.92563,0.288752
8.99224,0.29001
9.05885,0.291527
9.12546,0.293737
9.19207,0.294556
9.25868,0.295379
9.32529,0.296919
9.39189,0.296786
9.4585,0.295696
9.52511,0.295787
9.59172,0.294493
9.65833,0.291774
9.72494,0.290735
9.79155,0.290688
9.85816,0.289199
9.92477,0.288662
9.99138,0.287518
10.058,0.286076
10.1246,0.285292
10.1912,0.28559
10.2578,0.284614
10.3244,0.283772
10.391,0.282674
10.4576,0.281354
10.5243,0.279418
10.5909,0.27838
10.6575,0.276647
10.7241,0.276291
10.7907,0.275625
10.8573,0.274265
10.9239,0.272744
10.9905,0.273109
11.0571,0.272184
11.1237,0.272247
11.1903,0.2724
11.257,0.272208
11.3236,0.271051
11.3902,0.270969
11.4568,0.269523
11.5234,0.268265
11.59,0.268199
11.6566,0.268685
11.7232,0.268011
11.7898,0.267615
11.8564,0.266776
11.923,0.266662
11.9897,0.266647
12.0563,0.266608
12.1229,0.265761
12.1895,0.265361
12.2561,0.26513
12.3227,0.264057
12.3893,0.26352
12.4559,0.262399
12.5225,0.261737
12.5891,0.261936
12.6557,0.261791
12.7224,0.26158
12.789,0.260961
12.8556,0.260099
12.9222,0.259671
12.9888,0.257446
13.0554,0.25754
13.122,0.257704
13.1886,0.257418
13.2552,0.257238
13.3218,0.257395
13.3884,0.257128
13.4551,0.257011
13.5217,0.256858
13.5883,0.256999
13.6549,0.257657
13.7215,0.257214
13.7881,0.256623
13.8547,0.256458
13.9213,0.256509
13.9879,0.256517
14.0545,0.256909
14.1211,0.256999
14.1878,0.256795
14.2544,0.25616
14.321,0.255949
14.3876,0.25587
14.4542,0.255616
14.5208,0.25549
14.5874,0.255686
14.654,0.25638
14.7206,0.256235
14.7872,0.256184
14.8538,0.256317
14.9205,0.256223
14.9871,0.255968
15.0537,0.255956
15.1203,0.255859
15.1869,0.255651
15.2535,0.255463
15.3201,0.2552
15.3867,0.255416
15.4533,0.255463
15.5199,0.255949
15.5865,0.255655
15.6532,0.255584
15.7198,0.255776
15.7864,0.255486
15.853,0.255357
15.9196,0.254107
15.9862,0.2533
16.0528,0.254409
16.1194,0.256533
16.186,0.256525
16.2526,0.257163
16.3192,0.256078
16.3859,0.256011
16.4525,0.256035
16.5191,0.255831
16.5857,0.255443
16.6523,0.255471
16.7189,0.25542
16.7855,0.255506
16.8521,0.254855
16.9187,0.254742
16.9853,0.254546
17.052,0.254824
17.1186,0.254738
17.1852,0.254765
17.2518,0.255612
17.3184,0.255474
17.385,0.255114
17.4516,0.255008
17.5182,0.255451
17.5848,0.255643
17.6514,0.255659
17.718,0.256011
17.7847,0.255925
17.8513,0.255612
17.9179,0.255784
17.9845,0.255396
18.0511,0.25531
18.1177,0.254891
18.1843,0.254448
18.2509,0.254479
18.3175,0.254828
18.3841,0.255032
18.4507,0.255862
18.5174,0.256713
18.584,0.257026
18.6506,0.2585
18.7172,0.260177
18.7838,0.261474
18.8504,0.263935
18.917,0.266482
18.9836,0.266909
19.0502,0.26892
19.1168,0.270209
19.1834,0.270103
19.2501,0.269507
19.3167,0.267685
19.3833,0.2666
19.4499,0.265408
19.5165,0.263692
19.5831,0.2631
19.6497,0.261255
19.7163,0.260087
19.7829,0.259718
19.8495,0.257971
19.9161,0.256227
19.9828,0.255823
20.0494,0.254699
20.116,0.253707
20.1826,0.253245
20.2492,0.252771
20.3158,0.252614
20.3824,0.252786
20.449,0.253143
20.5156,0.253774
20.5822,0.253789
20.6488,0.254244
20.7155,0.255498
20.7821,0.25513
20.8487,0.254514
20.9153,0.254961
20.9819,0.254483
21.0485,0.255126
21.1151,0.254722
21.1817,0.254522
21.2483,0.254021
21.3149,0.255839
21.3815,0.255619
21.4482,0.25538
21.5148,0.25513
21.5814,0.25491
21.648,0.255353
21.7146,0.255953
21.7812,0.255909
21.8478,0.25627
21.9144,0.256427
21.981,0.256442
22.0476,0.256536
22.1142,0.255953
22.1809,0.255874
22.2475,0.256435
22.3141,0.256572
22.3807,0.256795
22.4473,0.25674
22.5139,0.256838
22.5805,0.257007
22.6471,0.257446
22.7137,0.257912
22.7803,0.258813
22.8469,0.259648
22.9136,0.261298
22.9802,0.260698
23.0468,0.261987
23.1134,0.263571
23.18,0.264433
23.2466,0.264746
23.3132,0.264934
23.3798,0.264507
23.4464,0.264515
23.513,0.264033
23.5796,0.263998
23.6463,0.2639
23.7129,0.264002
23.7795,0.264205
23.8461,0.264374
23.9127,0.264539
23.9793,0.264593
24.0459,0.264825
24.1125,0.26497
24.1791,0.265158
24.2457,0.265236
24.3124,0.265185
